FileID	DatasetID
FILE_ID.00000859	DATASET.00000003
FILE_ID.00000862	DATASET.00000001
FILE_ID.00000863	DATASET.00000003
FILE_ID.00000866	DATASET.00000001
FILE_ID.00000867	DATASET.00000003
FILE_ID.00000870	DATASET.00000001
FILE_ID.00000871	DATASET.00000003
FILE_ID.00000874	DATASET.00000001
FILE_ID.00000875	DATASET.00000003
FILE_ID.00000878	DATASET.00000001
FILE_ID.00000879	DATASET.00000003
FILE_ID.00000882	DATASET.00000001
FILE_ID.00000883	DATASET.00000003
FILE_ID.00000886	DATASET.00000001
FILE_ID.00000887	DATASET.00000003
FILE_ID.00000890	DATASET.00000001
FILE_ID.00000891	DATASET.00000003
FILE_ID.00000894	DATASET.00000001
FILE_ID.00000895	DATASET.00000003
FILE_ID.00000898	DATASET.00000001
FILE_ID.00000899	DATASET.00000003
FILE_ID.00000902	DATASET.00000001
FILE_ID.00000903	DATASET.00000003
FILE_ID.00000906	DATASET.00000001
FILE_ID.00000907	DATASET.00000003
FILE_ID.00000910	DATASET.00000001
FILE_ID.00000911	DATASET.00000003
FILE_ID.00000914	DATASET.00000001
FILE_ID.00000915	DATASET.00000003
FILE_ID.00000918	DATASET.00000001
FILE_ID.00000919	DATASET.00000003
FILE_ID.00000922	DATASET.00000001
FILE_ID.00000923	DATASET.00000003
FILE_ID.00000926	DATASET.00000001
FILE_ID.00000927	DATASET.00000003
FILE_ID.00000930	DATASET.00000001
FILE_ID.00000931	DATASET.00000003
FILE_ID.00000934	DATASET.00000001
FILE_ID.00000935	DATASET.00000003
FILE_ID.00000938	DATASET.00000001
FILE_ID.00000939	DATASET.00000003
FILE_ID.00000942	DATASET.00000001
FILE_ID.00000943	DATASET.00000003
FILE_ID.00000946	DATASET.00000001
FILE_ID.00000947	DATASET.00000003
FILE_ID.00000950	DATASET.00000001
FILE_ID.00000951	DATASET.00000003
FILE_ID.00000954	DATASET.00000001
FILE_ID.00000955	DATASET.00000003
FILE_ID.00000958	DATASET.00000001
FILE_ID.00000959	DATASET.00000003
FILE_ID.00000962	DATASET.00000001
FILE_ID.00000963	DATASET.00000003
FILE_ID.00000966	DATASET.00000001
FILE_ID.00000967	DATASET.00000003
FILE_ID.00000970	DATASET.00000001
FILE_ID.00000971	DATASET.00000003
FILE_ID.00000974	DATASET.00000001
FILE_ID.00000975	DATASET.00000003
FILE_ID.00000978	DATASET.00000001
FILE_ID.00000979	DATASET.00000003
FILE_ID.00000982	DATASET.00000001
FILE_ID.00000983	DATASET.00000003
FILE_ID.00000986	DATASET.00000001
FILE_ID.00000987	DATASET.00000003
FILE_ID.00000990	DATASET.00000001
FILE_ID.00000991	DATASET.00000003
FILE_ID.00000994	DATASET.00000001
FILE_ID.00000995	DATASET.00000003
FILE_ID.00000998	DATASET.00000001
